Country Name,Country Code,Indicator Name,Indicator Code,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Aruba,ABW,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,97.29125214,,,,,,,,,,96.82263947,,,,,,,,97.80741882,,97.98999786,
Africa Eastern and Southern,AFE,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,57.19594955,57.17396927,57.59630966,58.02788162,58.70793152,59.110569,59.68616867,60.44277954,60.61507034,61.42926025,61.79697037,62.51264954,62.88304901,63.53424835,64.81861115,63.14611053,61.25045013,61.97698975,62.43222046,63.04637146,63.66257858,65.8645401,67.39182281,68.44510651,68.82797241,69.28249359,70.05960083,69.99945068,70.42024994,71.5740509,71.88990784,
Afghanistan,AFG,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,,31.44885063,,,,,,,,,,37.2660408
Africa Western and Central,AFW,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,44.01222992,45.04315948,45.59489822,46.42525101,47.2516098,47.36898041,48.18706894,49.19380188,50.59566879,51.35570908,47.38473129,48.75516891,49.42502975,49.50099182,51.55960846,51.61544037,57.53918839,50.26028061,49.80102921,50.88328934,51.34383011,51.95272827,52.60353851,53.14498901,54.1866188,54.97917938,55.56496811,56.60425186,59.61927032,60.17866135,60.23498917,
Angola,AGO,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,67.4054184,,,,,,,,,,,,,66.03011322,,,,,,,72.27999878
Albania,ALB,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,98.71298218,,,,,,,95.93863678,,,96.84529877,97.24697113,,,,,,98.14115143,,,98.44999695
Andorra,AND,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,53.76335907,54.85802078,55.79571152,56.51733017,57.35150909,58.31884003,59.76802063,60.4850502,61.64368057,62.65645981,63.56547928,64.73937988,65.89008331,68.51374054,69.44387817,69.02809143,67.94542694,68.43212891,69.43845367,68.10904694,69.06881714,70.86891937,74.35066223,73.92195129,76.12545013,73.55156708,74.92640686,75.8427124,72.94586182,73.18887329,73.58918762,
United Arab Emirates,ARE,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,90.03385162,,,,,,,,,,,,,,95.52648163,,98.12635803
Argentina,ARG,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,96.04071808,,,,,,,,,,97.1933136,,,,,98.6108017,,,98.98342133,98.95497131,99.10832977,99.10523224,99.12194824,98.99388885,99.17996216,99.12500763,,99.0038681,,,
Armenia,ARM,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,99.40016174,,,,,,,,,,99.74440765,,,,,99.74440765,99.73606873,,,99.78861237,
American Samoa,ASM,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,98.94999695,,,,,,,,,,98.94999695,,,,98.94999695,,,,,,
Australia,AUS,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Austria,AUT,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Azerbaijan,AZE,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,98.79180145,,,,,,,,99.59319305,,99.75984192,99.77114105,99.77863312,99.77577209,99.78936005,99.78898621,99.78806305,99.79006195,99.79122925,,99.79598236,,
Burundi,BDI,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,37.38471985,,,,,,,,,,59.30361938,,,,,,,,48.08406067,,,,,,61.51348877,,,68.37532806,,,,74.70999908
Belgium,BEL,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benin,BEN,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,,,27.24517059,,,,,,,,,,34.65784836,,,,28.70211029,,,,,,32.94881821,,,,,,42.36240005,,,45.84000015
