Country Name,Country Code,Indicator Name,Indicator Code,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Aruba,ABW,"School enrollment, primary (% gross)",SE.PRM.ENRR,,,,,,,,,,112.2131805,110.7881775,109.4409637,111.0108337,109.2143021,110.8390503,111.3767166,114.251152,115.2115784,113.0916138,113.8017883,113.7942963,105.2558594,104.0871277,116.039299,117.1080933,114.9975967,113.7475739,,,,,
Africa Eastern and Southern,AFE,"School enrollment, primary (% gross)",SE.PRM.ENRR,72.8008194,74.408638,72.90830994,73.05819702,73.21227264,75.45752716,75.45999908,79.43437958,79.79734039,78.99265289,81.05799866,84.01022339,86.63777161,90.53465271,92.71073914,95.99050903,98.32640076,101.2414169,104.6887283,103.9949417,103.1554031,103.083847,103.3583298,103.0047302,103.1950226,102.004982,102.3923721,102.9445267,104.0296783,104.6796799,105.3623962,
Afghanistan,AFG,"School enrollment, primary (% gross)",SE.PRM.ENRR,29.04141998,27.41422081,,29.10314941,40.00014114,42.75143051,,,31.05335045,25.30797005,20.95758057,20.88290977,68.98684692,93.36218262,104.6638184,98.09989166,101.6978531,98.93350983,100.7797318,96.89640045,100.0717087,97.64163971,103.4923935,104.4984283,105.9197083,103.534523,102.4864731,102.1757889,103.9961624,106.7010803,,
Africa Western and Central,AFW,"School enrollment, primary (% gross)",SE.PRM.ENRR,72.32993317,72.59770966,74.22158813,76.22408295,76.46359253,75.05214691,70.49780273,74.3442688,77.31906891,80.24038696,83.66020203,84.60896301,86.47329712,87.20641327,89.10063171,90.01135254,90.93058014,88.27471924,85.8765564,87.60996246,88.38514709,92.05358124,93.76992035,94.95915985,93.45773315,91.61485291,91.51490021,91.79280853,91.73309326,90.52320099,88.7802124,
Angola,AGO,"School enrollment, primary (% gross)",SE.PRM.ENRR,73.03958893,66.80436707,64.24714661,,,,,,71.5319519,,,,,,,,,98.97357941,105.1802063,104.1305695,105.7810364,119.5301437,,,,113.4779587,102.134079,116.9566422,85.02416229,,,
Albania,ALB,"School enrollment, primary (% gross)",SE.PRM.ENRR,99.45175171,101.2331467,99.55587006,98.52026367,101.5287933,104.0438385,106.3018188,108.0198822,107.1711578,105.7366486,104.1961899,102.9673691,101.4115067,100.0051422,98.1780014,100.6760406,97.87570953,96.34562683,95.68250275,93.10456085,93.49047089,95.00608063,97.58512878,99.98390961,104.1080399,105.5429764,105.5538635,107.0466003,106.9934235,104.8127365,100.1519165,95.92178345
Andorra,AND,"School enrollment, primary (% gross)",SE.PRM.ENRR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,"School enrollment, primary (% gross)",SE.PRM.ENRR,83.3796463,83.86090851,81.35240936,81.9673996,84.55638123,83.37124634,85.66902161,86.30764008,86.8734436,88.01454926,88.6682663,89.46537018,90.67297363,91.65731049,92.04267883,92.56015015,93.54512787,94.05210876,94.95773315,95.28881073,96.01290894,95.59116364,97.51347351,96.37268066,95.98459625,95.4942627,95.33702087,95.39557648,95.84233856,96.07525635,96.27467346,
United Arab Emirates,ARE,"School enrollment, primary (% gross)",SE.PRM.ENRR,107.3393326,107.8380127,102.8578796,100.094017,100.3423462,101.0636292,98.07546997,93.89537811,90.36122894,,,,,,,,,101.5898285,,,,,99.9434433,98.66689301,103.0735168,111.5427628,108.6727066,108.3970566,,114.4123611,115.3516769,
Argentina,ARG,"School enrollment, primary (% gross)",SE.PRM.ENRR,106.9124298,108.9973907,,,110.970871,,110.2202225,107.0863037,111.5416565,114.4968719,115.6941299,116.2501678,116.7984314,114.4946671,115.8060532,115.2991486,117.2033005,118.0511093,118.5934601,117.905983,116.9757614,115.6147308,114.2271729,112.0119476,111.459671,111.3034134,110.7391815,109.7414627,109.6591721,109.5162964,108.8787689,
Armenia,ARM,"School enrollment, primary (% gross)",SE.PRM.ENRR,,104.3454971,101.1409912,104.5680008,96.50575256,92.42475128,93.27529907,126.9002304,129.1640472,133.5714874,98.66372681,102.1300507,95.37493896,94.19893646,94.92137146,95.44106293,100.1557999,113.2876205,114.5186768,110.8467789,99.06498718,98.4758606,98.91773987,98.44946289,96.86598969,95.00364685,94.51789856,94.08351898,92.71524811,91.84506226,91.23544312,91.11036682
American Samoa,ASM,"School enrollment, primary (% gross)",SE.PRM.ENRR,98.89273071,92.58213806,87.29930115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,"School enrollment, primary (% gross)",SE.PRM.ENRR,,,102.4008789,,,112.8563919,,,,,127.5960007,,,,,,,114.5785904,114.2038727,111.4890289,112.2929611,110.5734863,108.0301819,106.0568237,106.0467072,104.9906235,52.31587601,103.6689606,105.0212708,102.2206192,,
Australia,AUS,"School enrollment, primary (% gross)",SE.PRM.ENRR,106.3717194,106.0968094,105.973999,105.8771667,105.8298874,101.2912674,101.5802917,101.1840286,100.9286194,100.6588364,100.7219315,100.6397781,101.5487823,101.6743088,102.2641296,102.7393188,103.3040466,105.1830521,105.1411209,105.3021317,105.6194305,105.689682,105.9844513,105.9938507,105.4570923,101.5999069,100.7444077,100.3389816,100.1605911,99.72714996,99.02160645,
Austria,AUT,"School enrollment, primary (% gross)",SE.PRM.ENRR,105.3017273,104.1205521,103.9096909,103.3115768,102.4130783,102.3650436,102.3969116,102.8261032,103.6303406,103.7848511,103.6723175,102.9474716,101.2514801,100.4638214,100.7213211,100.8326187,101.559288,101.6712494,100.7259369,100.2024765,99.78977966,99.73870087,100.5990601,101.2101212,101.6281891,101.9974823,102.2643585,103.1131516,103.3168488,103.1049271,102.498703,
Azerbaijan,AZE,"School enrollment, primary (% gross)",SE.PRM.ENRR,114.6294174,113.9595108,112.5403976,111.2491837,113.0139313,113.2001266,93.50836182,94.54734039,92.87744141,95.48014069,97.20748901,98.86100006,98.34942627,96.21324158,97.26132965,95.52696991,94.21665955,94.77120209,94.07247162,95.068573,93.76229858,95.57363129,97.95530701,100.5004501,106.0598907,106.6014862,106.4317398,103.2940979,99.7220993,97.93534851,95.80747223,94.3119278
Burundi,BDI,"School enrollment, primary (% gross)",SE.PRM.ENRR,68.61554718,70.36089325,66.95545197,65.94577789,,49.31856155,38.41836929,39.77453995,47.49435043,56.22755814,58.00494003,60.86331177,65.64196777,71.1733017,76.26712036,80.97310638,102.9002991,115.3082886,122.9431534,131.5227356,137.170105,140.8289032,139.1704254,136.6323242,134.2994843,130.9034271,128.0420532,123.8596191,121.4215622,118.9602432,115.1230392,
Belgium,BEL,"School enrollment, primary (% gross)",SE.PRM.ENRR,101.0585327,100.2859192,98.92967224,102.4577103,101.8241196,101.7954102,102.0151825,,,103.8236237,104.8344193,104.076561,103.1672287,102.3609085,100.800209,100.4623413,100.7341919,101.5342178,102.1575623,102.1275635,101.9242401,101.9468002,102.2560501,103.8219681,103.6480637,103.1558075,103.3177719,103.905571,103.3507004,102.6195068,102.1535034,
Benin,BEN,"School enrollment, primary (% gross)",SE.PRM.ENRR,51.25492859,58.219841,61.41460037,66.49933624,66.8944397,70.24485016,72.65390778,76.38223267,79.4296875,79.58431244,82.52926636,90.73641205,96.16322327,99.79704285,103.7222595,100.838829,101.2934036,,113.1883087,118.4339676,120.1520081,122.7260437,127.2151489,128.7360992,129.5956726,132.4668427,130.9022827,126.6461105,121.958252,116.7085876,114.1510925,116.7145004
Burkina Faso,BFA,"School enrollment, primary (% gross)",SE.PRM.ENRR,32.52550125,33.72296906,34.41490936,35.47658157,36.77635956,38.83546066,40.96957016,,43.31879044,44.28435135,45.01736832,46.43783188,47.05757141,49.31103897,53.87440109,58.3271904,62.06520844,67.6690979,73.22383881,77.61482239,78.01416779,81.59490967,84.09261322,85.71839905,87.33791351,88.36615753,91.11083984,93.65312958,96.09037018,94.5357132,92.62789154,92.16539764
Bangladesh,BGD,"School enrollment, primary (% gross)",SE.PRM.ENRR,83.79701233,,,,,,,,,,,,,,,101.6478119,102.416153,101.6202469,99.5429306,102.9275665,105.9745483,106.3301163,,,,,,114.6156311,116.4663467,,119.5564499,115.9466476
Bulgaria,BGR,"School enrollment, primary (% gross)",SE.PRM.ENRR,94.68267822,93.58344269,93.58280182,94.46318054,95.55909729,97.58338928,101.0982895,102.3031769,103.1721878,103.330101,103.4540329,104.4845963,103.39814,104.6338272,105.1268463,103.3585968,103.4179077,106.8442688,108.8717499,109.6889267,108.3310089,103.5848618,100.3291702,98.05493927,96.66216278,94.19827271,91.08322144,89.33377075,87.44220734,85.94416046,85.22231293,
Bahrain,BHR,"School enrollment, primary (% gross)",SE.PRM.ENRR,110.3334122,111.4463577,107.906868,107.6867828,106.9723969,107.7029572,107.678833,107.7346115,107.7991333,107.8946304,104.9660263,100.6770401,100.7419815,99.80986023,98.38226318,95.74597931,98.41713715,,,,,94.86897278,95.34284973,97.67427826,99.7290802,101.2005081,101.093132,101.213089,99.36305237,98.02790833,,
"Bahamas, The",BHS,"School enrollment, primary (% gross)",SE.PRM.ENRR,98.34101105,95.1213913,94.46095276,95.37963867,94.6088562,95.96749115,101.2487488,98.90213776,99.30194855,96.65512848,,,93.19962311,,98.25660706,100.3983383,96.0582962,,,,,,,,,,,,,,,
Bosnia and Herzegovina,BIH,"School enrollment, primary (% gross)",SE.PRM.ENRR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belarus,BLR,"School enrollment, primary (% gross)",SE.PRM.ENRR,94.08245087,96.2190094,95.89096069,97.53603363,97.38446045,98.24659729,98.93180084,99.97601318,102.225441,111.3961563,113.7167664,114.9993134,112.4711609,102.379303,99.97944641,98.43138123,99.36715698,101.7897263,104.8463821,105.9405212,104.3696899,102.1262283,99.81443024,98.2072525,98.30412292,99.14978027,101.0770416,101.9657898,100.5002136,98.44673157,95.3421402,94.17932129
Belize,BLZ,"School enrollment, primary (% gross)",SE.PRM.ENRR,112.7352982,114.7413712,113.8160782,115.0652771,117.8465576,119.6816025,123.1245117,122.2979889,,119.0675125,115.9109726,112.4040375,107.2670212,111.1511612,112.8524017,113.2709579,113.6849289,113.1168289,112.3320236,113.0299377,112.5697479,111.4016418,113.7844696,111.957489,111.552742,112.8883286,114.4841614,113.2306137,111.6968765,110.4903107,107.6850967,102.5617676
