Country Name,Country Code,Indicator Name,Indicator Code,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Aruba,ABW,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,,,,,,,,,4.763909817,4.395540237,4.714680195,4.739860058,4.923649788,,4.408480167,4.68132019,,4.815040112,4.999229908,5.924789906,6.929269791,6.119130135,6.549059868,6.442959785,5.851280212,5.888269901,5.491350174,,,,,
Africa Eastern and Southern,AFE,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,,,,,,,,,,4.994909763,3.769109964,4.572579861,,,3.74496007,3.818970084,3.784489989,,3.844995141,3.585380077,4.496590137,4.385980129,4.677365065,4.744919777,4.839839935,4.815085173,4.821875095,4.862555027,4.834589958,4.600084305,4.608170033,
Afghanistan,AFG,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,,,,,,,,,,,,,,,,2.569999933,2.900000095,2.849999905,3.50999999,3.730000019,3.479449987,3.462009907,3.319999933,3.454459906,3.695219994,3.255800009,3.511980057,3.373310089,3.199790001,3.213779926,2.860859394,
Africa Western and Central,AFW,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,,,,,,,,,,2.514170051,2.565020084,2.42614007,2.59414494,2.751250029,2.681100011,2.726830006,2.56340003,2.946390033,2.723119974,3.089270115,2.963060021,2.668900013,2.805634975,2.940209985,2.666670084,3.057290077,2.780580044,3.430219889,3.013220072,3.023039937,3.173885107,
Angola,AGO,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,,,,,,,,,2.567120075,,2.607530117,,,,,2.120110035,2.281460047,2.920000076,2.690000057,3.210000038,3.421319962,3.029999971,3.081909895,4.438950062,3.122920036,3.486900091,2.754940033,2.466880083,2.044699907,1.927459955,2.415199995,
Albania,ALB,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,,,,,3.44698,3.814640045,3.083509922,3.37947011,3.536979914,3.592930079,3.430170059,3.458699942,3.117799997,3.138230085,3.227519989,3.281549931,3.191459894,3.275929928,,,3.41307497,3.079999924,2.930000067,3.539299965,3.049999952,3.437969923,3.962090015,3.611730099,3.154901266,3.916650057,3.099999905,
Andorra,AND,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,,,,,,,,3.713279963,,,,,1.65971005,,1.544119954,1.644970059,2.244899988,2.104690075,2.873929977,3.142920017,2.976629972,2.98706007,,2.506160021,3.074209929,3.28034997,3.237070084,3.217089891,3.246720076,3.15060997,,2.880000114
Arab World,ARB,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,,,,,,,,,,,,,,,4.6707201,,4.001780033,,4.22755003,3.589999914,3.981111646,3.410000086,3.628720045,3.976920128,3.799999952,3.930850029,4.380000114,3.748559952,4.417484999,2.988470078,3.670000076,
United Arab Emirates,ARE,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,1.626072645,1.305180192,1.446030259,1.537318707,1.709201694,1.737109423,1.63756907,1.510745287,3.86736989,3.879869938,
Argentina,ARG,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,1.067379951,,,,,,3.731980085,,4.039869785,4.521679878,4.580309868,4.833740234,4.017340183,3.535049915,3.486520052,3.860009909,4.128210068,4.462600231,4.844409943,5.531050205,5.019710064,5.290629864,5.345829964,5.436610222,5.361440182,5.776110172,5.545489788,5.454319954,4.877739906,4.724170208,5.016049862,
